ghg_category,method,type,subtype,name,description,unit,total_co2_kg,source,source_year
investments,equity-average-data-method,goods,"Manufacturing|Wood Product Manufacturing|Veneer, Plywood, and Engineered Wood Product Manufacturing",Reconstituted Wood Product Manufacturing,,usd,"0,218",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Wood Product Manufacturing|Other Wood Product Manufacturing,"Cut Stock, Resawing Lumber, and Planing",,usd,"0,187",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Wood Product Manufacturing|Other Wood Product Manufacturing,Wood Container and Pallet Manufacturing,,usd,"0,200",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Wood Product Manufacturing|Other Wood Product Manufacturing,All Other Miscellaneous Wood Product Manufacturing,,usd,"0,200",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Paper Manufacturing|Pulp, Paper, and Paperboard Mills",Pulp Mills,,usd,"0,957",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Paper Manufacturing|Pulp, Paper, and Paperboard Mills",Paper (except Newsprint) Mills,,usd,"0,737",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Paper Manufacturing|Pulp, Paper, and Paperboard Mills",Newsprint Mills,,usd,"0,737",U.S EPA,2021
investments,equity-average-data-method,goods,"Manufacturing|Paper Manufacturing|Pulp, Paper, and Paperboard Mills",Paperboard Mills,,usd,"0,803",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Paper Manufacturing|Converted Paper Product Manufacturing,Corrugated and Solid Fiber Box Manufacturing,,usd,"0,490",U.S EPA,2021
investments,equity-average-data-method,goods,Manufacturing|Paper Manufacturing|Converted Paper Product Manufacturing,Folding Paperboard Box Manufacturing,,usd,"0,490",U.S EPA,2021
